Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Relative Effort,Commute,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.type,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.start_time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.jump_count,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.total_grit,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_flow,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.flagged
3960854194,"Aug 24, 2020, 8:37:04 PM",Run 2,Run,,1564,4.04,,false,,activities/3960854194.gpx,,,1564.0,1224.0,4042.39990234375,9.0,3.302614450454712,16.074106216430664,21.67410659790039,60.400001525878906,82.0,10.199999809265137,-0.13853156566619873,,,,,,,,,319.4489440917969,,,,,,,,,,,,,,0.0,,0.0,,1.0,4062.39990234375,,,,,,,,,,,,,,,,,,,,,,,,,,
3966324527,"Aug 25, 2020, 10:26:39 PM",Windy Evening Ride,Ride,,3979,27.37,,false,specialized rockhopper pro 1x 2019,activities/3966324527.gpx,,14.0,3979.0,3960.0,27374.400390625,12.0,6.912727355957031,101.40990447998047,102.90990447998047,44.099998474121094,82.0,10.699999809265137,-0.005479572340846062,,,,,,,,208.1387176513672,919.0156860351562,,,,,,,,,6.0,,,,,0.0,104.0,0.0,,1.0,,,,,,,,,,,,,,,,7700234.0,,,,,,,,,,,
3970875968,"Aug 26, 2020, 10:02:33 PM",Evening Ride 🚴‍♂️,Ride,"",5963,36.03,,false,specialized rockhopper pro 1x 2019,activities/3970875968.gpx,,14.0,5963.0,5394.0,36034.8984375,14.100000381469727,6.6805524826049805,144.83892822265625,153.43899536132812,44.099998474121094,82.0,13.199999809265137,-0.023865751922130585,,,,,,,,203.1770477294922,1221.969482421875,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,7700234.0,,,,,,,,,,,
3977978983,"Aug 28, 2020, 3:20:56 PM",Morning ride,Ride,,979,6.62,,false,specialized rockhopper pro 1x 2019,activities/3977978983.gpx,,14.0,979.0,903.0,6621.5,10.600000381469727,7.332779407501221,41.36089324951172,57.160892486572266,71.4000015258789,98.69999694824219,14.399999618530273,-0.23861663043498993,,,,,,,,225.69989013671875,227.2447967529297,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,7700234.0,,,,,,,,,,,
3979305884,"Aug 28, 2020, 9:39:09 PM",Evening Ride,Ride,"",3992,27.99,,false,specialized rockhopper pro 1x 2019,activities/3979305884.gpx,,14.0,3992.0,3576.0,27994.5,11.300000190734863,7.828439712524414,88.6283187866211,106.12830352783203,49.5,82.0999984741211,10.199999809265137,-0.06251227855682373,,,,,,,,251.03477478027344,1000.936767578125,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,7700234.0,,,,,,,,,,,
3987313479,"Aug 30, 2020, 3:33:38 PM",Morning ride,Ride,,1209,8.22,,false,specialized rockhopper pro 1x 2019,activities/3987313479.gpx,,14.0,1209.0,1209.0,8223.2001953125,12.399999618530273,6.80165433883667,9.056547164916992,25.256547927856445,61.79999923706055,82.0,5.5,-0.19700360298156738,,,,,,,,170.78863525390625,230.22906494140625,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,7700234.0,,,,,,,,,,,
3993269374,"Aug 31, 2020, 9:37:10 PM",Evening Ride,Ride,,1219,7.60,,false,specialized rockhopper pro 1x 2019,activities/3993269374.gpx,,14.0,1219.0,1205.0,7605.7998046875,12.300000190734863,6.3118672370910645,51.894920349121094,36.69491958618164,71.4000015258789,98.5,6.400000095367432,0.1998474895954132,,,,,,,,177.00601196289062,237.82086181640625,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,7700234.0,,,,,,,,,,,
3993416482,"Aug 31, 2020, 10:11:25 PM",Resistance run,Run,"",1882,5.20,,false,,activities/3993416482.gpx,,,1882.0,1679.0,5205.5,7.900000095367432,3.1003572940826416,29.397476196289062,44.1974983215332,71.4000015258789,98.0999984741211,36.79999923706055,-0.28431466221809387,,,,,,,,,413.5677795410156,,,,,,,,,6.0,,,,,0.0,44.0,0.0,,1.0,5259.2998046875,,,,,,,,,,,,,,,,,,,,,,,,,,
4012881301,"Sep 4, 2020, 3:27:15 PM",Longest ride ever 🔥🚴‍♂️,Ride,RBC Grandfondo completed in one ride,39157,165.53,,false,specialized rockhopper pro 1x 2019,activities/4012881301.gpx,,14.0,39157.0,28403.0,165534.703125,16.100000381469727,5.828071117401123,961.5910034179688,956.1909790039062,43.5,193.8000030517578,31.600000381469727,0.0032621559221297503,,,,,,,,152.9796142578125,4844.7763671875,,,,,,,,,8.0,,,,,0.0,1222.0,0.0,,1.0,,,,,,,,,,,,,,,,7700234.0,,,,,,,,,,,
4026640747,"Sep 7, 2020, 6:10:56 PM",Afternoon ride,Ride,,737,5.66,,false,specialized rockhopper pro 1x 2019,activities/4026640747.gpx,,14.0,737.0,724.0,5661.2998046875,11.100000381469727,7.819475173950195,27.82615089416504,43.52614974975586,71.4000015258789,98.5,17.299999237060547,-0.277321457862854,,,,,,,,252.11672973632812,203.5237579345703,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,7700234.0,,,,,,,,,,,
